Date,Player,Player_Type,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Provider,Market_H,Synthetic_Market_H,Market_H_books,Market_H_over_price,Market_H_under_price,Market_H_line_std,Market_Provider_H,Market_RBI,Synthetic_Market_RBI,Market_RBI_books,Market_RBI_over_price,Market_RBI_under_price,Market_RBI_line_std,Market_Provider_RBI,Market_HR,Synthetic_Market_HR,Market_HR_books,Market_HR_over_price,Market_HR_under_price,Market_HR_line_std,Market_Provider_HR,Market_K,Synthetic_Market_K,Market_K_books,Market_K_over_price,Market_K_under_price,Market_K_line_std,Market_Provider_K,Market_ER,Synthetic_Market_ER,Market_ER_books,Market_ER_over_price,Market_ER_under_price,Market_ER_line_std,Market_Provider_ER
2026-04-09,Matt Chapman,hitter,Matt_Chapman,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-192.0,141.0,0.0,covers,0.5,0.5,1.0,168.0,,0.0,covers,0.5,0.5,1.0,409.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Matt Olson,hitter,Matt_Olson,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-203.0,154.0,0.0,covers,0.5,0.5,2.0,148.0,,0.0,covers,0.5,0.5,2.0,327.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Mauricio Dubon,hitter,Mauricio_Dubon,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-174.5,130.0,0.0,covers,0.5,0.5,2.0,247.0,,0.0,covers,0.5,0.5,2.0,955.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Max Muncy,hitter,Max_Muncy,2026-04-10T01:12:42Z,368938,,,,covers,0.5,0.5,2.0,-200.0,134.0,0.0,covers,0.5,0.5,2.0,125.5,,0.0,covers,0.5,0.5,2.0,294.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Michael Harris II,hitter,Michael_Harris_II,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-210.0,148.0,0.0,covers,0.5,0.5,2.0,198.5,,0.0,covers,0.5,0.5,2.0,573.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Mickey Moniak,hitter,Mickey_Moniak,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-232.5,162.0,0.0,covers,0.5,0.5,4.0,167.75,-257.6666666666667,0.0,covers,0.5,0.5,4.0,447.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Miguel Andujar,hitter,Miguel_Andujar,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,2.0,-226.5,151.5,0.0,covers,0.5,0.5,2.0,150.0,-266.5,0.0,covers,0.5,0.5,1.0,508.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Mike Yastrzemski,hitter,Mike_Yastrzemski,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-160.5,114.0,0.0,covers,0.5,0.5,2.0,195.0,,0.0,covers,0.5,0.5,2.0,508.5,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Nick Castellanos,hitter,Nick_Castellanos,2026-04-10T01:12:42Z,368270,,,,covers,0.5,0.5,4.0,-167.75,124.33333333333333,0.0,covers,0.5,0.5,4.0,183.75,-279.0,0.0,covers,0.5,0.5,4.0,616.25,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Nick Fortes,hitter,Nick_Fortes,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,2.0,-136.5,107.0,0.0,covers,0.5,0.5,2.0,258.5,,0.0,covers,0.5,0.5,2.0,1070.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Ozzie Albies,hitter,Ozzie_Albies,2026-04-10T01:12:42Z,369780,,,,covers,0.5,0.5,2.0,-174.0,126.0,0.0,covers,0.5,0.5,2.0,211.0,,0.0,covers,0.5,0.5,2.0,650.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Patrick Bailey,hitter,Patrick_Bailey,2026-04-10T01:12:42Z,368431,,,,covers,0.5,0.5,1.0,-140.0,106.0,0.0,covers,0.5,0.5,1.0,237.0,,0.0,covers,0.5,0.5,1.0,690.0,,0.0,covers,,,,,,,,,,,,,,
2026-04-09,Paul Goldschmidt,hitter,Paul_Goldschmidt,2026-04-10T01:12:42Z,367971,,,,covers,0.5,0.5,1.0,-259.0,190.0,0.0,covers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
