provider_name,snapshot_time_utc,game_id,player,market,line,book,side,odds,no_vig,consensus,book_vs_consensus_gap,market_dispersion,time_to_lock
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,draftkings,OVER,-104,0.5098039215686274,0.5054997608799617,0.004304160688665681,0.024390243902439046,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,17.5,fanduel,OVER,-125,0.5555555555555556,0.5555555555555556,0.0,0.0,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,espnbet,OVER,-105,0.5121951219512195,0.5054997608799617,0.006695361071257788,0.024390243902439046,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,betmgm,OVER,-105,0.5121951219512195,0.5054997608799617,0.006695361071257788,0.024390243902439046,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,bovada,OVER,105,0.4878048780487805,0.5054997608799617,-0.017694882831181258,0.024390243902439046,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,draftkings,UNDER,-127,0.5594713656387665,0.5636780994012632,-0.004206733762496695,0.01891252955082745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,17.5,fanduel,UNDER,-106,0.5145631067961165,0.5145631067961165,0.0,0.0,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,espnbet,UNDER,-125,0.5555555555555556,0.5636780994012632,-0.008122543845707653,0.01891252955082745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,bovada,UNDER,-135,0.574468085106383,0.5636780994012632,0.010789985705119798,0.01891252955082745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Jaden Mcdaniels,PTS,18.5,betmgm,UNDER,-130,0.5652173913043478,0.5636780994012632,0.0015392919030845498,0.01891252955082745,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,draftkings,OVER,-125,0.5555555555555556,0.5523341523341523,0.003221403221403296,0.010101010101010166,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,fanduel,OVER,-122,0.5495495495495496,0.5523341523341523,-0.0027846027846026855,0.010101010101010166,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,espnbet,OVER,-120,0.5454545454545454,0.5523341523341523,-0.00687960687960687,0.010101010101010166,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,betmgm,OVER,-125,0.5555555555555556,0.5523341523341523,0.003221403221403296,0.010101010101010166,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,bovada,OVER,-125,0.5555555555555556,0.5523341523341523,0.003221403221403296,0.010101010101010166,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,draftkings,UNDER,-105,0.5121951219512195,0.5159251317787904,-0.0037300098275708793,0.011614401858304313,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,fanduel,UNDER,-108,0.5192307692307693,0.5159251317787904,0.003305637451978871,0.011614401858304313,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,espnbet,UNDER,-110,0.5238095238095238,0.5159251317787904,0.007884392030733434,0.011614401858304313,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,bovada,UNDER,-105,0.5121951219512195,0.5159251317787904,-0.0037300098275708793,0.011614401858304313,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Julius Randle,PTS,19.5,betmgm,UNDER,-105,0.5121951219512195,0.5159251317787904,-0.0037300098275708793,0.011614401858304313,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,draftkings,OVER,-118,0.5412844036697247,0.5377426597524343,0.003541743917290452,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,fanduel,OVER,-114,0.5327102803738317,0.5377426597524343,-0.0050323793786025695,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,espnbet,OVER,-120,0.5454545454545454,0.5377426597524343,0.007711885702111121,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,bovada,OVER,-120,0.5454545454545454,0.5377426597524343,0.007711885702111121,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,betmgm,OVER,-110,0.5238095238095238,0.5377426597524343,-0.013933135942910457,0.021645021645021578,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,draftkings,UNDER,-112,0.5283018867924528,0.5328373540681776,-0.004535467275724736,0.031746031746031744,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,fanduel,UNDER,-114,0.5327102803738317,0.5328373540681776,-0.00012707369434583615,0.031746031746031744,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,espnbet,UNDER,-110,0.5238095238095238,0.5328373540681776,-0.009027830258653724,0.031746031746031744,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,bovada,UNDER,-110,0.5238095238095238,0.5328373540681776,-0.009027830258653724,0.031746031746031744,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Victor Wembanyama,PTS,30.5,betmgm,UNDER,-125,0.5555555555555556,0.5328373540681776,0.02271820148737802,0.031746031746031744,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,draftkings,OVER,-115,0.5348837209302325,0.5372546138114307,-0.0023708928811981833,0.029489204844655115,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,fanduel,OVER,-111,0.5260663507109005,0.5372546138114307,-0.011188263100530227,0.029489204844655115,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,bovada,OVER,-115,0.5348837209302325,0.5372546138114307,-0.0023708928811981833,0.029489204844655115,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,espnbet,OVER,-115,0.5348837209302325,0.5372546138114307,-0.0023708928811981833,0.029489204844655115,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,betmgm,OVER,-125,0.5555555555555556,0.5372546138114307,0.018300941744124888,0.029489204844655115,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,draftkings,UNDER,-114,0.5327102803738317,0.5299113130231498,0.002798967350681969,0.022688598979012986,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,fanduel,UNDER,-115,0.5348837209302325,0.5299113130231498,0.004972407907082754,0.022688598979012986,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,bovada,UNDER,-115,0.5348837209302325,0.5299113130231498,0.004972407907082754,0.022688598979012986,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,espnbet,UNDER,-115,0.5348837209302325,0.5299113130231498,0.004972407907082754,0.022688598979012986,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Anthony Edwards,PTS,36.5,betmgm,UNDER,-105,0.5121951219512195,0.5299113130231498,-0.017716191071930232,0.022688598979012986,
sportsgameodds,2026-05-12T22:08:41.119309+00:00,pAYPKeculbQNxQPfqMBj,Ayo Dosunmu,PTS,19.5,draftkings,OVER,-119,0.54337899543379,0.5499861629998617,-0.006607167566071714,0.0121765601217656,
