block,event_date,leg_count,policy_hit,control_hit,legacy_fixed_rank_core_hit,policy_action,policy_players,control_players,policy_independence_reference,policy_frechet_lower_reference,minimum_policy_marginal,history_rows_in_window,survival_policy_version
cross_version_transfer,2026-04-07,3,True,True,,False,Will_Riley|Kobe_Brown|Kyle_Filipowski,Will_Riley|Malik_Monk|Collin_Murray-Boyles,0.5600625069872781,0.23662758698297903,0.8091283869472004,150,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-08,2,False,False,False,False,Cooper_Flagg|Jarrett_Allen,Caleb_Love|Jalen_Suggs,0.6047804982428209,0.41544113284135475,0.743145031762796,150,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-08,3,False,False,,False,Cooper_Flagg|Jarrett_Allen|Caleb_Love,Caleb_Love|Jalen_Suggs|Bones_Hyland,0.44238896000568256,0.09890464676616784,0.7314868142921869,150,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-09,2,False,False,False,False,Collin_Murray-Boyles|Pelle_Larsson,Adem_Bona|Jamal_Shead,0.5821447002719481,0.36616296382952385,0.705313582049344,159,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-09,3,False,False,,False,Collin_Murray-Boyles|Jaime_Jaquez_Jr|Pelle_Larsson,Adem_Bona|Jamal_Shead|Miles_McBride,0.4105945638198495,0.007233873480887887,0.705313582049344,159,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-10,2,True,True,True,True,Anthony_Black|Quentin_Grimes,Anthony_Black|Quentin_Grimes,0.6045028108502932,0.4650493741254391,0.7745327784539086,159,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-10,3,True,True,,False,Anthony_Black|Quentin_Grimes|Sion_James,Anthony_Black|Quentin_Grimes|Kelly_Oubre_Jr,0.4430144483688297,0.1361230994351481,0.7328575490752242,159,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-12,2,False,False,False,True,Jeremiah_Fears|Tre_Jones,Anthony_Black|Quentin_Grimes,0.720615253920055,0.5728869572533206,0.8488906018563611,149,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-12,3,False,False,,False,Jeremiah_Fears|Tre_Jones|Jonas_Valančiūnas,Anthony_Black|Quentin_Grimes|Kelly_Oubre_Jr,0.5807921967084807,0.30428128435648283,0.8059671142805336,149,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-18,2,True,False,False,True,Jonas_Valančiūnas|Rui_Hachimura,Jonas_Valančiūnas|JaeSean_Tate,0.6222933740848935,0.463458025010687,0.7727177332261338,108,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-18,3,True,False,,False,Jonas_Valančiūnas|Rui_Hachimura|Miles_McBride,Jonas_Valančiūnas|JaeSean_Tate|Rui_Hachimura,0.4537461595951841,0.1371098892739595,0.7291515199923756,108,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
cross_version_transfer,2026-04-19,2,True,True,False,True,Goga_Bitadze|Kelly_Oubre_Jr,Kelly_Oubre_Jr|Goga_Bitadze,0.6195835296877767,0.469117888458948,0.7698512166902406,107,NBA_RECENT_REGIME_SURVIVAL_V1_SHADOW
