Date,Player,Player_Type,Target,Line,Over_Price,Under_Price,Bookmaker,Provider,Market_Player_Norm,Market_Fetched_At_UTC,Market_Event_ID,Market_Commence_Time_UTC,Market_Home_Team,Market_Away_Team,Market_Name
2026-04-09,Ramon Laureano,hitter,H,0.5,-225.0,162.0,Caesars,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ramon Laureano,hitter,H,0.5,-221.0,164.0,DraftKings,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ramon Laureano,hitter,H,0.5,-230.0,,FanDuel,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Edouard Julien,hitter,H,0.5,-155.0,115.0,BetMGM,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Edouard Julien,hitter,H,0.5,-190.0,125.0,Caesars,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Edouard Julien,hitter,H,0.5,-168.0,126.0,DraftKings,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Edouard Julien,hitter,H,0.5,-200.0,,FanDuel,covers,Edouard_Julien,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Kyle Karros,hitter,H,0.5,-125.0,-105.0,BetMGM,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Kyle Karros,hitter,H,0.5,-136.0,102.0,Caesars,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Kyle Karros,hitter,H,0.5,-137.0,104.0,DraftKings,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Kyle Karros,hitter,H,0.5,-135.0,,FanDuel,covers,Kyle_Karros,2026-04-10T01:12:42Z,368270,,,,Total Hits
2026-04-09,Ramon Laureano,hitter,HR,0.5,400.0,,BetMGM,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ramon Laureano,hitter,HR,0.5,350.0,,Caesars,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ramon Laureano,hitter,HR,0.5,347.0,,DraftKings,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Ramon Laureano,hitter,HR,0.5,390.0,,FanDuel,covers,Ramon_Laureano,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Manny Machado,hitter,HR,0.5,400.0,,BetMGM,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Manny Machado,hitter,HR,0.5,400.0,,Caesars,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Manny Machado,hitter,HR,0.5,378.0,,DraftKings,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Manny Machado,hitter,HR,0.5,430.0,,FanDuel,covers,Manny_Machado,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,TJ Rumfield,hitter,HR,0.5,600.0,,BetMGM,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,TJ Rumfield,hitter,HR,0.5,750.0,,Caesars,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,TJ Rumfield,hitter,HR,0.5,760.0,,DraftKings,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,TJ Rumfield,hitter,HR,0.5,790.0,,FanDuel,covers,TJ_Rumfield,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
2026-04-09,Troy Johnston,hitter,HR,0.5,700.0,,BetMGM,covers,Troy_Johnston,2026-04-10T01:12:42Z,368270,,,,Total Home Runs
